Price,Date,Close,High,Low,Open,Volume
Ticker,,^CNX100,^CNX100,^CNX100,^CNX100,^CNX100
155,2020-08-17,11402.849609375,11422.7001953125,11296.849609375,11411.2001953125,8322400
156,2020-08-18,11541.9501953125,11556.849609375,11412.849609375,11419.2001953125,0
157,2020-08-19,11564.5,11618.5498046875,11550.9501953125,11608.900390625,0
158,2020-08-20,11479.0,11524.650390625,11451.5,11478.5,0
159,2020-08-21,11535.7998046875,11589.25,11526.0498046875,11581.25,0
160,2020-08-24,11619.150390625,11648.5,11578.5,11579.9501953125,0
161,2020-08-25,11625.599609375,11681.5498046875,11575.650390625,11668.9501953125,0
162,2020-08-26,11694.349609375,11705.599609375,11611.4501953125,11668.599609375,0
163,2020-08-27,11709.4501953125,11762.25,11692.650390625,11755.400390625,0
164,2020-08-28,11791.5,11830.7001953125,11743.25,11755.599609375,0
165,2020-08-31,11496.0498046875,11927.2001953125,11438.75,11913.5498046875,0
166,2020-09-01,11586.599609375,11651.650390625,11477.849609375,11570.150390625,0
167,2020-09-02,11660.599609375,11681.400390625,11554.650390625,11598.400390625,0
168,2020-09-03,11663.349609375,11714.650390625,11643.849609375,11694.5,0
169,2020-09-04,11464.9501953125,11589.849609375,11436.9501953125,11491.150390625,0
170,2020-09-07,11478.400390625,11509.9501953125,11380.4501953125,11493.25,7090300
171,2020-09-08,11434.900390625,11556.4501953125,11407.4501953125,11502.900390625,0
172,2020-09-09,11397.9501953125,11418.4501953125,11299.599609375,11338.7001953125,0
173,2020-09-10,11562.650390625,11577.099609375,11453.0498046875,11481.2998046875,0
174,2020-09-11,11589.650390625,11609.400390625,11538.7998046875,11562.4501953125,0
175,2020-09-14,11566.4501953125,11690.0,11512.0498046875,11665.650390625,0
176,2020-09-15,11652.849609375,11666.2998046875,11580.0498046875,11613.7001953125,0
177,2020-09-16,11732.7001953125,11743.849609375,11653.900390625,11673.400390625,0
178,2020-09-17,11646.150390625,11718.2998046875,11629.2001953125,11671.25,0
179,2020-09-18,11640.2001953125,11716.2001953125,11581.650390625,11713.5498046875,0
180,2020-09-21,11367.25,11661.4501953125,11332.5,11642.0,0
181,2020-09-22,11264.5498046875,11411.4501953125,11177.0498046875,11411.0498046875,0
182,2020-09-23,11241.599609375,11369.400390625,11135.75,11366.849609375,0
183,2020-09-24,10922.25,11127.650390625,10906.7001953125,11122.5498046875,0
184,2020-09-25,11176.2998046875,11198.099609375,10974.900390625,11029.5,0
185,2020-09-28,11365.25,11375.4501953125,11233.5498046875,11270.5498046875,0
186,2020-09-29,11353.650390625,11449.4501953125,11314.4501953125,11429.400390625,0
187,2020-09-30,11385.2001953125,11431.650390625,11320.0,11380.2001953125,0
188,2020-10-01,11545.900390625,11557.400390625,11484.25,11499.650390625,0
189,2020-10-05,11625.599609375,11693.2998046875,11574.5,11616.599609375,0
190,2020-10-06,11770.75,11787.2001953125,11688.0498046875,11722.5,0
191,2020-10-07,11833.900390625,11857.400390625,11741.349609375,11787.4501953125,0
192,2020-10-08,11925.400390625,11986.9501953125,11876.599609375,11926.099609375,0
193,2020-10-09,11990.7001953125,12014.9501953125,11897.400390625,11944.5,0
194,2020-10-12,11999.0498046875,12088.900390625,11936.900390625,12047.0498046875,0
195,2020-10-13,11995.7001953125,12056.349609375,11959.5,12000.5498046875,0
196,2020-10-14,12039.0498046875,12064.0,11893.4501953125,11980.599609375,0
197,2020-10-15,11758.2001953125,12091.0498046875,11738.7001953125,12089.5498046875,0
198,2020-10-16,11843.349609375,11867.2001953125,11744.099609375,11804.25,0
199,2020-10-19,11952.900390625,11970.4501953125,11896.099609375,11953.75,0
200,2020-10-20,11976.849609375,12023.2998046875,11919.0,11941.650390625,0
201,2020-10-21,12009.0,12092.0498046875,11851.900390625,12036.7998046875,0
202,2020-10-22,11971.7998046875,12009.7001953125,11899.099609375,11965.849609375,0
203,2020-10-23,12006.099609375,12045.349609375,11985.150390625,12029.400390625,0
204,2020-10-26,11842.7001953125,12022.099609375,11788.7001953125,12017.75,0
205,2020-10-27,11971.900390625,11981.7001953125,11800.2001953125,11880.2998046875,0
206,2020-10-28,11819.0498046875,12012.2001953125,11778.400390625,12006.5,0
207,2020-10-29,11774.400390625,11838.2001953125,11700.0498046875,11723.25,0
208,2020-10-30,11748.9501953125,11855.900390625,11646.900390625,11784.849609375,0
209,2020-11-02,11777.849609375,11830.650390625,11675.25,11803.0498046875,0
210,2020-11-03,11913.349609375,11937.2001953125,11834.2001953125,11843.650390625,0
211,2020-11-04,12007.099609375,12026.150390625,11860.75,11890.900390625,0
212,2020-11-05,12217.900390625,12225.900390625,12127.4501953125,12150.349609375,0
213,2020-11-06,12349.150390625,12364.900390625,12232.349609375,12252.4501953125,0
